id_play,player_id,team,clock,x,y,v,kicker,phase
6253,1006130,att,250.12,40.22154082,-7.742155077,0.38814502,0,FREE
6253,1006143,def,250.12,4.967180455,0.547076451,0.386135008,0,FREE
6253,1008280,att,250.12,52.88630366,13.85996457,2.355438809,0,FREE
9128,250267,def,365.12,31.13579818,-28.3072311,1.763588749,0,GENERAL_PLAY
9128,260113,def,365.12,25.4563044,19.37815459,1.533888633,0,GENERAL_PLAY
9128,270732,att,365.12,24.82893697,-17.35798579,3.99085882,0,GENERAL_PLAY
9128,290117,def,365.12,71.37608735,-3.996188311,1.315350973,0,GENERAL_PLAY
9128,290641,def,365.12,69.65906043,2.603219491,2.427990605,0,GENERAL_PLAY
9128,290797,att,365.12,4.75663913,-16.39826631,3.067024348,0,GENERAL_PLAY
9128,291492,att,365.12,65.25849722,-2.243187285,3.999287183,0,GENERAL_PLAY
9128,291545,att,365.12,63.68978874,-7.203576263,0.950855777,0,GENERAL_PLAY
9128,293846,def,365.12,46.65900361,-16.02767228,1.837095531,0,GENERAL_PLAY
9128,294101,att,365.12,26.326227,17.17886837,2.585550314,0,GENERAL_PLAY
9128,294596,def,365.12,-4.311409097,-10.78318228,2.018697647,0,GENERAL_PLAY
9128,295136,att,365.12,40.30408505,12.70971073,3.856450248,0,GENERAL_PLAY
9128,295313,att,365.12,30.19704115,-29.57133121,1.279094655,0,GENERAL_PLAY
9128,295467,att,365.12,64.25907906,3.027671055,1.914079706,1,GENERAL_PLAY
9128,295584,def,365.12,54.4054569,-11.78578299,2.777106897,0,GENERAL_PLAY
9128,296205,def,365.12,49.62513266,-34.81504271,1.575545829,0,GENERAL_PLAY
9128,296422,def,365.12,71.45705836,-19.11867865,2.370164264,0,GENERAL_PLAY
9128,297373,att,365.12,56.66898658,-8.27175145,4.005908998,0,GENERAL_PLAY
9128,297452,def,365.12,27.86186492,-23.45278935,3.075761152,0,GENERAL_PLAY
9128,991988,def,365.12,57.46698479,-0.984593929,3.816109889,0,GENERAL_PLAY
9128,992000,def,365.12,41.7150578,14.26798038,2.956781193,0,GENERAL_PLAY
9128,992351,att,365.12,11.56951342,-14.50316302,3.603135876,0,GENERAL_PLAY
9128,992468,def,365.12,14.4728295,-11.82683131,2.55465871,0,GENERAL_PLAY
